Spotify ID,Artist IDs,Track Name,Artist Name(s),Album Name,Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,YOGAFUNC release#,YOGAFUNC Excercise,This YOGAFUNC release was launched,Choreography script,Video
4wL8ea7xZnsstsF5PblyLO,0GIkVFXYmxojeY0NfX6Fdr,Om Mani Padme Hum (Tibetan Bells Meditation),Zen Hymns Meditation Buddha,"30 Hymns & Relaxing Zen Tracks - Om Chanting, Buddhist Meditation Mantra & Tibetan Crystal Bowls for Deep Meditation",2015-06-08,317286,0,spotify:user:jockesalokorpi,2023-01-14T08:40:23Z,zen,0.0797,0.0321,0,-27.787,1,0.0408,0.928,0.974,0.0968,0.0371,83.162,5,20,Meditation,,updating soon,updating soon
1HsRKpbG39PcL5YocNdq1a,3HGpQkENCx0Yl4vFTPde3t,Night Time Crickets,Robbins Island Music Group,"Naturescapes: Tropical Ocean Surf, Night Time Crickets, Forest Ambience, Water & Rain Sounds & More",2014-10-07,316000,2,spotify:user:jockesalokorpi,2020-06-24T14:45:48Z,"pet calming,sleep",0.391,0.0213,3,-28.402,1,0.111,0.845,0.935,0.0617,0.0358,144.006,4,21,Meditation,,updating soon,updating soon
2shFGtLpc5FT1GwI9JcjAZ,5h3DF9cMoJc9E4MlZEjHK2,Still,Bjørn Lynne,Transcendental Meditation Collection,2016-08-04,318987,0,spotify:user:jockesalokorpi,2014-09-04T13:08:53Z,demoscene,0.0823,0.0795,8,-24.03,0,0.0431,0.981,0.968,0.0828,0.0357,81.941,3,22,Meditation,,updating soon,updating soon
0McO3ee7YJ01ixlxRCmGqR,6gDwdjF8oM6oXX5VRHFaiv,Raytheon,Sora Shima,Transcendental Meditation Collection,2016-08-04,350720,0,spotify:user:jockesalokorpi,2021-03-05T13:43:34Z,cinematic post-rock,0.136,0.171,5,-21.708,0,0.0342,0.908,0.937,0.0955,0.0396,69.42,4,23,Meditation,,updating soon,updating soon
363HvNh30zfoqrqiTgG39J,6b0rwdSClajr0CeLtfhcsm,Heart Chakra: Continuous Gong for Meditation,"Tibetan Singing Bowls for Relaxation, Meditation and Chakra Balancing",Tibetan Chakra Meditations,2010-03-09,325960,29,spotify:user:jockesalokorpi,2021-06-30T16:51:23Z,chakra,0.14,0.0018,4,-38.22,1,0.051,0.991,0.906,0.102,0.0279,70.838,4,24,Meditation,,updating soon,updating soon
4itgBXUhr4pLNSGtmu7H0M,5YZaXFoZZsyjaxoy029RYD,Sahasrara (Crown) [Chakra],Air With Air Rising,7 Om Chanting Meditations,2012-11-20,353000,26,spotify:user:jockesalokorpi,2013-10-13T07:05:36Z,,0.0933,0.0426,11,-24.571,1,0.0483,0.992,0.949,0.107,0.0301,73.816,0,25,Meditation,,updating soon,updating soon
36wyqVLntrhifWgher7XkN,1bF3IgxBQw61FRqeyuvq7b,Odyssey,Meditation Mantras Guru,50 Soothing Sounds for Meditation,2017-08-30,338128,0,spotify:user:jockesalokorpi,2019-06-09T09:58:40Z,meditation,0.0854,0.164,7,-16.88,1,0.0407,0.671,0.625,0.0861,0.036,66.897,4,26,Meditation,,updating soon,updating soon
31UsDqAN1FRZ7RreGeNEVx,1bF3IgxBQw61FRqeyuvq7b,Divine Breath,Meditation Mantras Guru,60 Winter Meditation Tones,2017-11-05,321018,0,spotify:user:jockesalokorpi,2019-06-09T09:58:40Z,meditation,0.0812,0.147,2,-17.211,0,0.0446,0.75,0.919,0.104,0.0394,82.826,4,27,Meditation,,updating soon,updating soon
0y7QokailCOjR6yZCp7oPk,1bF3IgxBQw61FRqeyuvq7b,Ascension,Meditation Mantras Guru,60 Awakening of the Soul,2018-03-11,348133,0,spotify:user:jockesalokorpi,2019-06-09T09:58:40Z,meditation,0.174,0.359,9,-14.262,0,0.0379,0.902,0.942,0.0735,0.0336,136.58,4,28,Meditation,,updating soon,updating soon
7jP8gmwL63hclBsRY1inXt,1y6jeiJ1L8vwgt7lHDqRKd,Inner Peace,Aroshanti,Zen Relaxation,2013-05-01,372000,0,spotify:user:jockesalokorpi,2014-03-06T16:36:47Z,"healing,meditation,tone",0.0836,0.118,9,-22.773,1,0.0382,0.943,0.941,0.108,0.0379,65.338,0,29,Meditation,,updating soon,updating soon
